Category,Rank,Dish,Also known as,Cuisine / region,What it is,Jain,Contains onion/garlic
Breads,7,Methi Paratha,,Punjabi,Flaky paratha kneaded with fresh fenugreek,Y,No
Breads,8,Mooli Paratha,,Punjabi,Flatbread stuffed with spiced grated radish,N,No
Breads,9,Amritsari Kulcha,,Punjabi,Crisp stuffed tandoor kulcha with spiced potato,N,Yes
Breads,10,Malabar Parotta,Kerala Parotta,Kerala,Layered flaky flatbread made with maida,Y,No
Soups,1,Lemon Coriander Soup,,Indo-Chinese,Tangy clear vegetable soup with lemon juice and fresh coriander,Adaptable,Yes
Soups,2,Manchow Soup,Veg Manchow Soup,Indo-Chinese,Spicy soy-ginger vegetable soup topped with crispy fried noodles,Adaptable,Yes
Soups,3,Hot and Sour Soup,,Indo-Chinese,Peppery vinegar-soy vegetable broth with tofu and chilli,Adaptable,Yes
Soups,4,Palak Shorba,Spinach Shorba,North Indian,"Spiced spinach soup tempered with cumin, finished with cream",Adaptable,Yes
Soups,5,Tamatar Shorba,Tomato Shorba,North Indian,"Thin spiced tomato soup with cumin, coriander and ghee",Adaptable,Yes
Soups,6,Pepper Rasam,Milagu Rasam,Tamil,"Peppery tamarind broth, a classic comfort for colds",Adaptable,Yes
Soups,7,Mysore Rasam,,Karnataka,"Rasam with roasted coconut, dal and spice paste",Y,No
Soups,8,Lemon Rasam,Elumichai Rasam,Tamil,Light moong dal rasam brightened with lemon juice,Adaptable,No
Soups,9,Thukpa,,Tibetan/Himalayan,Hearty noodle soup with vegetables in a spiced broth,Adaptable,Yes
Soups,10,Dal Shorba,Lentil Shorba,North Indian,Thin spiced lentil soup finished with lemon and coriander,Adaptable,Yes
Indian Sweets,1,Kalakand,,Rajasthani / UP,"Moist, grainy milk cake of reduced milk and chhena",Y,No
Indian Sweets,2,Motichoor Ladoo,,North Indian,Fine saffron boondi pearls bound into ghee ladoos,Y,No
Indian Sweets,3,Rava Ladoo,Rava Laddu,South Indian / Maharashtrian,"Roasted semolina, coconut and ghee ladoos",Y,No
Indian Sweets,4,Doodh Peda,Kesar Peda,Pan-Indian,Soft saffron-cardamom milk fudge rounds,Y,No
Indian Sweets,5,Soan Papdi,Patisa,North Indian,"Flaky, melt-in-mouth besan and ghee strands",Y,No
Indian Sweets,6,Milk Cake,Alwar ka Mawa,Rajasthani,Caramelised grainy milk fudge with brown centre,Y,No
Indian Sweets,7,Gujiya,"Karanji, Ghughra",North Indian / Pan-Indian,Fried pastry half-moons stuffed with khoya and nuts,Y,No
Indian Sweets,8,Modak,Ukadiche Modak,Maharashtrian,Steamed rice dumplings with coconut-jaggery filling,Y,No
Indian Sweets,9,Coconut Barfi,"Nariyal Barfi, Topra Pak",Pan-Indian,Fresh coconut and milk fudge squares,Y,No
Indian Sweets,10,Balushahi,Badusha,North Indian,Flaky fried dough rounds glazed in sugar syrup,Y,No
